"Exercício";"Programa";"Objetivo";"Enunciado";"Descrição";
2024;"1144";"1255";"Fomentar o desenvolvimento e a intensificação da produção agropecuária, com sustentabilidade ambiental, econômica e social, com vistas à segurança alimentar e diversificação energética.";;
2024;"1158";"1318";"Fortalecer a ação nacional frente à mudança do clima, enfrentando os desafios da mitigação e adaptação e promovendo a resiliência aos eventos climáticos extremos, viabilizando de forma transversal as oportunidades da transição para a economia de baixo carbono.";;
2024;"2801";"1333";"Ampliar a inovação, a produtividade e a competitividade em direção a uma economia verde, diversificada, complexa e adensada, com melhoria do ambiente de negócios e aumento da participação econômica internacional qualificada do país, com vistas ao desenvolvimento econômico e social, a promoção de trabalho, a distribuição de renda e a redução das desigualdades sociais e regionais.";;
2024;"1149";"1284";"Promover a participação da sociedade na reconstrução e na transformação do país por meio de instâncias e de processos participativos na elaboração, implementação e monitoramento das políticas públicas para o fortalecimento da democracia participativa e representativa.";;
2024;"1189";"1319";"Promover a transição para uma economia que estimule as cadeias de valor da biodiversidade, as soluções baseadas na natureza e o modo de vida e os conhecimentos dos povos e comunidades tradicionais, de forma inclusiva, com repartição justa e equitativa de seus resultados.";;
2024;"1191";"1328";"Fortalecer a agricultura familiar em sua diversidade e a agroecologia, promovendo a produção de alimentos, a inclusão socioeconômica, a redução das desigualdades, a segurança alimentar e nutricional e a mitigação e adaptação às mudanças climáticas";;
2024;"5812";"1287";"Promover acesso a direitos humanos e à cidadania plena para pessoas LGBTQIA+.";;
2024;"2224";"1279";"Aprimorar e integrar o planejamento, o orçamento, o monitoramento e a avaliação, bem como ampliar investimentos e a produção e disseminação de informações e conhecimento, a fim de fortalecer a capacidade do Estado de prover entregas à sociedade com qualidade, sustentabilidade e transversalidade.";;
2024;"2301";"1267";"Ampliar e qualificar a gestão, os serviços e as políticas governamentais, para a sociedade e a administração pública, apoiando e potencializando a inovação e o fortalecimento das capacidades do Estado.";;
2024;"2302";"1269";"Assegurar a sanidade vegetal e a saúde animal, a qualidade, as práticas leais de produção e de comércio de produtos agropecuários, visando contribuir para a promoção da saúde pública e o desenvolvimento do setor agropecuário em benefício da sociedade brasileira, por meio da regulamentação, certificação, auditoria e fiscalização agropecuária.";;
2024;"2303";"1277";"Fortalecer a capacidade do setor agropecuário na superação dos desafios econômicos, sociais e ambientais, por meio da geração, compartilhamento e aplicação de conhecimento técnico-científico.";;
2024;"2304";"1310";"Democratizar o acesso aos resultados do desenvolvimento científico e tecnológico, promovendo a difusão de tecnologias e a popularização da ciência, para contribuir para a resolução de problemas sociais e melhoria de vida da população.";;
2024;"2306";"1308";"Promover o desenvolvimento da tecnologia nuclear e suas aplicações para ampliar a capacidade de oferta de produtos e serviços, para atender a demanda e os benefícios dos usos pacíficos da energia nuclear e das radiações ionizantes, de forma segura e sustentada.";;
2024;"2307";"1307";"Ampliar a disponibilidade e competitividade de soluções espaciais na forma de produtos, serviços, infraestrutura e aplicações para atendimento às demandas da sociedade de forma autônoma e sustentada.";;
2024;"2308";"1309";"Recuperar, expandir, modernizar, consolidar e integrar o Sistema Nacional de Ciência, Tecnologia e Inovação, promovendo a articulação com a sociedade civil e os governos estaduais e municipais, a difusão de capacidades e a redução de assimetrias";;
2024;"2323";"1330";"Posicionar o turismo como vetor de desenvolvimento sustentável e aumentar a competitividade dos destinos e produtos turísticos brasileiros, democratizando o acesso e os benefícios da atividade turística para os cidadãos brasileiros.";;
2024;"2314";"1286";"Assegurar o Acesso à Previdência Social, Melhorando a Prestação dos Serviços, Ampliando a Cobertura Previdenciária, Promovendo a Equidade, a Sustentabilidade e o Fortalecimento dos Regimes, para Garantia da Proteção Social";;
2024;"2315";"1275";"Atuar para o crescimento econômico e desenvolvimento, com sustentabilidade fiscal, responsabilidade social e ambiental, para um sistema tributário justo e eficiente, ampliando a capacidade estatal de atender à sociedade e proteger os mais vulneráveis.";;
2024;"2316";"1326";"Promover a inserção internacional soberana, os valores e os interesses do Brasil, renovando o compromisso com o diálogo e a cooperação internacionais em prol do desenvolvimento sustentável, dos direitos humanos e da paz, e prestar assistência a brasileiras e brasileiros no exterior.";;
2024;"2317";"1293";"Integrar o território nacional e promover o desenvolvimento regional e territorial sustentável, inovador e inclusivo a partir de processos de planejamento, ordenamento e estruturação produtiva";;
2024;"2318";"1263";"Reduzir os riscos de desastres e ampliar a capacidade e tempestividade de resposta e reconstrução pós-desastres";;
2024;"2319";"1257";"Promover os deslocamentos sustentáveis, seguros e acessíveis, de pessoas e cargas nas cidades, priorizando o transporte não motorizado e o transporte público coletivo.";;
2024;"2320";"1260";"Promover moradia digna às famílias residentes em áreas urbanas e rurais com a garantia do direito à cidade, associado ao desenvolvimento urbano e econômico, à geração de trabalho e de renda e à elevação dos padrões de habitabilidade e de qualidade de vida da população.";;
2024;"2321";"1270";"Assegurar a disponibilidade de água em padrões de qualidade e quantidade adequados aos usos múltiplos, por meio de infraestrutura adequada, da conservação, da recuperação e do uso racional dos recursos naturais, promovendo a proteção dos mananciais e revitalização de bacias hidrográficas";;
2024;"2322";"1256";"Ampliar o acesso e melhorar a qualidade das ações e dos serviços de saneamento básico nas áreas urbanas e rurais, visando a universalização e a integração entre as políticas públicas relacionadas, segundo os princípios da equidade, integralidade e sustentabilidade";;
2024;"3104";"1303";"Desenvolver e integrar a aviação civil, de forma sustentável, com foco na segurança, no aumento da competitividade, na qualidade dos serviços e na ampliação do acesso ao transporte aéreo pela população brasileira.";;
2024;"3106";"1278";"Ofertar um sistema de transporte rodoviário sustentável, integrado, de qualidade, fluido, eficiente, moderno, seguro e acessível, com vistas ao aperfeiçoamento da mobilidade de pessoas e bens, à redução dos custos logísticos e ao aumento da competitividade";;
2024;"3108";"1252";"Aumentar a segurança nas vias terrestres por meio de ações de educação para o trânsito, inovações tecnológicas, engenharia de segurança viária, fiscalização, regularização física do ativo e solução de conflitos ferroviários para reduzir o número e a severidade dos sinistros.";;
2024;"3901";"1271";"Promover estrutura e serviços de transporte ferroviário modernos, sustentáveis, integrados, seguros, eficazes, eficientes e adequados à demanda e necessidade atual e futura de cargas e passageiros.";;
2024;"4006";"1338";"Fortalecer as iniciativas de economia popular e solidária e a construção de redes produtivas, fundamentadas nos princípios da autogestão, cooperação, sustentabilidade ambiental, participação popular e na valorização das dinâmicas territoriais";;
2024;"4101";"1265";"Ampliar o acesso da sociedade a informações publicas e governamentais, assegurando-lhes transparência, credibilidade e representatividade, para fortalecer a cidadania e a participação social.";;
2024;"4102";"1335";"Elevar o nível de segurança do Estado e da sociedade por meio de ações de articulação e assessoramento político e estratégico";;
2024;"4103";"1306";"Fomentar a eficiência, a sustentabilidade e a transformação digital dos sistemas financeiro e de pagamentos, com maior inclusão e educação financeira de cidadãos.";;
2024;"4104";"1254";"Promover o aperfeiçoamento contínuo da gestão e da governança ambiental, social e corporativa e fortalecer a transparência, a integridade, o acesso à informação, a participação social e o enfrentamento da corrupção, contribuindo para responsividade e entrega efetiva de bens e serviços públicos de qualidade e para o aumento da confiança nas relações público-privadas.";;
2024;"4105";"1273";"Promover a defesa da democracia e preservar a legitimação dos Poderes, por meio da representação da União e de suas entidades, e construir soluções inovadoras que contribuam para a segurança jurídica e a efetividade das políticas públicas.";;
2024;"5112";"1302";"Ampliar o acesso, a permanência e a formação de qualidade na Educação Profissional e Tecnológica, considerando potencialidades sociais, culturais e produtivas locais, com vistas à superação das desigualdades e à valorização da diversidade, na perspectiva da equidade, da inclusão e da sustentabilidade, visando a formação integral.";;
2024;"5113";"1329";"Promover a melhoria da qualidade da educação superior, ampliando o acesso, a permanência e a conclusão na graduação e na pós-graduação, com vistas à superação das desigualdades e à valorização da diversidade, na perspectiva da equidade, da inclusão e da sustentabilidade, fortalecendo, de forma participativa, a ciência, a cultura, as artes, a tecnologia e a inovação nas atividades de ensino, pesquisa e extensão e aperfeiçoando a avaliação, a supervisão e a regulação para o desenvolvimento do país, em consonância com o Plano Nacional de Educação.";;
2024;"5116";"1250";"Fortalecer a prevenção e o enfrentamento à violência e à criminalidade, promovendo a segurança pública cidadã, humanizada e integrada entre os entes federados e em articulação com a sociedade, com atenção especial à proteção de grupos sociais vulneráveis.";;
2024;"5118";"1331";"Ampliar a oferta e o acesso às ações e serviços da Atenção Especializada, conforme as necessidades de saúde da população, reduzindo as desigualdades de raça/etnia, de gênero, regionais e sociais, e promovendo a integralidade do cuidado.";;
2024;"5122";"1295";"Promover e qualificar a oferta de ações e serviços de saúde e saneamento ambiental, considerando os diferentes contextos étnico-culturais da população indígena, em articulação e fortalecimento dos saberes e práticas tradicionais";;
2024;"5123";"1280";"Reduzir e controlar doenças e agravos passíveis de prevenção e controle, com enfoque na superação das desigualdades de acesso, regionais, sociais, de raça/etnia e gênero.";;
2024;"5125";"1312";"Consolidar a cultura como um dos eixos estratégicos de desenvolvimento social e sustentável, por meio do acesso, produção e fruição da cultura, o desenvolvimento técnico, a garantia dos direitos autorais, do direito à arte, à cultura, à memória e às tradições, o fomento, o fortalecimento das cadeias produtivas e criativas, a preservação e a difusão da memória e do Patrimônio Cultural, com respeito aos direitos humanos e à diversidade cultural, étnica e regional brasileira.";;
2024;"5128";"1321";"Reduzir a pobreza por meio da transferência de renda e do fortalecimento de acessos a serviços de educação, saúde, assistência social.";;
2024;"5131";"1322";"Fortalecer e ampliar o acesso aos serviços e benefícios socioassistenciais às famílias e pessoas em situações de vulnerabilidade, riscos pessoais e sociais e violações de direitos, contribuindo para a redução das desigualdades e a inclusão socioeconômica.";;
2024;"5135";"1285";"Assegurar o exercício de direitos pelos jovens mediante implementação e execução da política nacional da juventude e a ampliação de acesso a serviços e equipamentos públicos, valorizando os jovens como sujeitos de direito, em especial os segmentos mais vulnerabilizados da população.";;
2024;"5501";"1324";"Promover o direito ao cuidado e a corresponsabilização pela sua provisão entre famílias, Estado, mercado e empresas e comunidade.";;
2024;"5601";"1258";"Reduzir desigualdades socioterritoriais mediante o desenvolvimento urbano integrado, democrático, acessível, inclusivo e sustentável, por meio de políticas de planejamento urbano, gestão e projetos urbanísticos.";;
2024;"5602";"1259";"Reduzir as desigualdades socioterritoriais, integralizar as políticas públicas nos territórios periféricos e fortalecer o protagonismo da população local no processo decisório das intervenções e na promoção das potencialidades das periferias brasileiras.";;
2024;"5636";"1296";"Ampliar a disponibilidade e o abastecimento de alimentos diversificados com base em sistemas alimentares saudáveis e sustentáveis, para promoção da soberania alimentar";;
2024;"5662";"1268";"Enfrentar todas as formas de violência contra as mulheres, baseada em gênero, classe, raça e etnia, em toda a sua diversidade, nas esferas publica e privadas, por meio da formulação, articulação, monitoramento, coordenação, governança interfederativa e avaliação de políticas transversais, intersetoriais, visando o pleno exercício da cidadania, livres de violência e ameaças.";;
2024;"5663";"1291";"Promover a igualdade de direitos: salarial, remuneratório, laboral e de cuidados, na esfera do trabalho produtivo e reprodutivo, garantindo trabalho, direitos e autonomia econômica das Mulheres.";;
2024;"5801";"1336";"Desenvolver a Pesca e Aquicultura de forma sustentável, por meio do fortalecimento das cadeias produtivas e considerando as dimensões ecológica, econômica, social e cultural dessas atividades, para gerar trabalho e renda, contribuir para a segurança alimentar e melhorar a produtividade e competitividade do setor";;
2024;"5802";"1323";"Promover o acesso a direitos para quilombolas, para comunidades tradicionais de matriz africana, para povos de terreiro e para povos ciganos, por meio de políticas públicas que assegurem o acesso à justiça e a recursos hídricos, energéticos, alimentares e de infraestrutura de saneamento, o reconhecimento de seus modos de vida, de seus saberes, de sua cultura e de seus territórios, o enfrentamento à discriminação étnica, racial e religiosa, a reparação, o etnodesenvolvimento, e a regularização fundiária.";;
2024;"5803";"1298";"Ampliar o acesso da juventude negra a direitos fundamentais.";;
2024;"5804";"1304";"Promover a igualdade étnico-racial e combater o racismo, por meio da formulação, execução, articulação, monitoramento, governança interfederativa e avaliação de políticas públicas transversais, intersetoriais e afirmativas de reconhecimento e de acesso a bens e direitos, com vistas a assegurar o bem-viver, instituições antirracistas e uma sociedade justa, equitativa e democrática.";;
2024;"5811";"1315";"Promover os direitos civis, políticos, econômicos, sociais e culturais das pessoas com deficiência e de suas famílias por intermédio do enfrentamento às barreiras que as impedem de exercer a plena cidadania.";;
2024;"5816";"1313";"Assegurar, com absoluta prioridade, a efetividade dos direitos humanos e cidadania de crianças e adolescentes referentes à vida, à saúde, à alimentação, à educação, ao esporte, ao lazer, à profissionalização, à cultura, à dignidade, ao respeito, à liberdade e à convivência familiar e comunitária, garantindo o pleno desenvolvimento de uma vida sem violência.";;
2024;"5814";"1314";"Desenvolver ações voltadas à implementação de políticas públicas e projetos intersetoriais e transversais voltadas à População em Situação de Rua";;
2024;"6112";"1261";"Preparar as Forças Armadas, desenvolvendo as capacidades militares e as condições necessárias, para que possam ser prontamente empregadas na defesa do território, da soberania e dos interesses nacionais.";;
2024;"5136";"1327";"Promover a governança fundiária, a reforma agrária, a regularização fundiária e o acesso à terra para agricultoras e agricultores familiares, assentadas e assentados da reforma agrária, quilombolas, indígenas e povos e comunidades tradicionais, assegurando a função social da terra, a inclusão produtiva e o bem viver dessas populações";;
2024;"5838";"1340";"Reconhecer e efetivar os direitos pluriétnico-culturais e sociais dos povos indígenas, assegurando a preservação e a valorização dos seus saberes, culturas, tradições, línguas e memórias, bem como o pleno exercício da cidadania e o acesso culturalmente adequado às políticas e serviços públicos de garantia dos direitos sociais, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.";;
2024;"1617";"1305";"Garantir aos povos indígenas o reconhecimento, a posse plena e a sustentabilidade dos seus territórios com usufruto exclusivo, assegurando plenas condições materiais de alcance do bem viver, a integridade do patrimônio indígena, o ambiente saudável, protegido e conservado, soberania alimentar, bem como justiça socioambiental e climática, respeitando sua autodeterminação, sua pluralidade étnico-cultural e seu protagonismo na gestão das políticas públicas que lhes são afetas.";;
2024;"5837";"1325";"Assegurar a cidadania de segmentos invisibilizados ou submetidos a violências diversas, por meio de políticas de promoção e defesa dos direitos humanos, de reparação por graves violações e de educação e cultura em direitos humanos.";;
2024;"5815";"1299";"Ressignificar o processo de envelhecer e garantir os direitos humanos das pessoas idosas.";;
2024;"5127";"1334";"Inclusão Socioeconômica para o público do Cadastro Único, com idade de 16 a 65 anos, com atuação nos eixos da intermediação de mão de obra, qualificação profissional e empreendedorismo.";;
2024;"5133";"1332";"Promover a produção, a oferta, o acesso e o consumo de água e alimentos adequados e saudáveis, com base em sistemas alimentares sustentáveis, saudáveis e resilientes, priorizando os grupos populacionais vulnerabilizados e fortalecendo o Sistema de Segurança Alimentar e Nutricional";;
2024;"5134";"1341";"Estabelecer políticas públicas efetivas voltadas aos usuários e dependentes químicos e seus familiares, no que se refere ao apoio e acolhimento de pessoas com problemas com álcool e outras drogas e seus familiares";;
2024;"5115";"1300";"Fortalecer o acesso à justiça e a promoção e defesa dos direitos das pessoas, com ênfase em grupos sociais vulnerabilizados.";;
2024;"2305";"1251";"Assegurar serviços de comunicações e conectividade, pela oferta inclusiva dos meios de acesso, com o desenvolvimento das habilidades digitais, dando ênfase aos grupos vulnerabilizados";;
2024;"5129";"1249";"Identificar e incluir famílias em situação de vulnerabilidade social no Cadastro Único e produzir informações e conhecimento para promoção do acesso às políticas sociais e seu aprimoramento.";;
2024;"2324";"1311";"Promover e apoiar o desenvolvimento tecnológico e a inovação nas empresas nacionais, com foco em projetos que alavanquem a industrialização do País por meio da promoção de atividades que adicionem valor à produção nacional";;
2024;"6113";"1276";"Ampliar o conhecimento científico e tecnológico, a conservação da biodiversidade, o uso sustentável dos recursos naturais, por meio da gestão efetiva dos espaços costeiros e marinhos, para promover os interesses do país no oceano, zona costeira e Antártica.";;
2024;"3105";"1297";"Promover o desenvolvimento, a eficiência, a qualidade, a competitividade e a segurança dos portos e transporte aquaviário, priorizando iniciativas que tenham foco no serviço adequado e que sejam inovadoras e baseadas na sustentabilidade socioambiental.";;
2024;"1190";"1317";"Promover a gestão ambiental urbana e rural por meio do controle da poluição e contaminação, bem como pela mitigação dos impactos negativos das atividades humanas, com vistas à melhoria da qualidade ambiental e de vida e da proteção dos direitos animais nas cidades e no campo.";;
2024;"6111";"1288";"Contribuir para incrementar os resultados e o alcance de políticas públicas e ações governamentais, por meio da atuação sinérgica do Ministério da Defesa com outras instituições públicas, cooperando para o desenvolvimento nacional.";;
2024;"6114";"1320";"Conservar, recuperar e valorizar os biomas terrestres e as zonas costeira e marinha, para a manutenção da diversidade biológica, dos recursos naturais e dos serviços ecossistêmicos, combatendo o desmatamento, os incêndios e a exploração predatória dos recursos naturais.";;
2024;"5661";"1289";"Fortalecer a capacidade institucional e a participação das Mulheres, em toda a sua diversidade e pluralidade, nos espaços de poder e decisão, visando a igualdade, a paridade e a representatividade, por meio das políticas públicas para Mulheres.";;
2024;"2310";"1253";"Assegurar o trabalho decente, o acesso ao emprego e renda, proteção social e remuneração justa, garantindo segurança e saúde no trabalho, diálogo social, inclusão, acessibilidade e equidade no mundo do trabalho.";;
2024;"3101";"1262";"Assegurar o suprimento de energia elétrica ao mercado brasileiro com justiça social e sustentabilidade econômica e ambiental.";;
2024;"3102";"1274";"Criar, no setor mineral brasileiro, um ambiente orientado para a sustentabilidade, a transição energética, a segurança do público e a atratividade aos investimentos";;
2024;"5120";"1339";"Promover o desenvolvimento científico e tecnológico para produção, inovação e avaliação em saúde a fim de atender a população de forma equitativa, sustentável, acessível, considerando a sociobiodiversidade territorial e contribuindo para a prosperidade econômica, social e redução da dependência de insumos para a saúde.";;
2024;"3103";"1272";"Ampliar investimentos na exploração e produção de petróleo e gás natural, na infraestrutura de escoamento e processamento de gás natural, no abastecimento de combustíveis e na redução da dependência externa de derivados, de forma a promover a segurança energética e a proteção dos interesses do consumidor, aliado a uma maior ênfase na transição energética.";;
2024;"3107";"1294";"Coordenar, planejar e promover a redução do conteúdo de carbono da matriz energética brasileira, promovendo a manutenção da alta participação da oferta de energia limpas e renováveis e o aumento da eficiência energética, tanto na oferta quanto na logística de distribuição e no uso final de energia.";;
2024;"5117";"1266";"Ampliar o acesso da população aos medicamentos, insumos estratégicos e serviços farmacêuticos, qualificando a assistência farmacêutica, articulada à pesquisa, à inovação e à produção nacional, regulação, com qualidade e uso adequado no Sistema Único de Saúde, reduzindo as iniquidades.";;
2024;"5119";"1283";"Fortalecer a atenção primária, ampliando a cobertura da Estratégia Saúde da Família e da Saúde Bucal, com vistas à universalização do acesso, à abrangência do cuidado integral, à promoção da saúde, à prevenção de doenças e agravos e à redução de desigualdades de raça/etnia, de gênero, regionais e sociais";;
2024;"5111";"1281";"Elevar a qualidade e promover a equidade em todas as etapas e modalidades da Educação Básica, em regime de colaboração com os sistemas de ensino, valorizando os profissionais da Educação Básica, promovendo o acesso, a permanência, a conclusão de suas etapas, a trajetória regular e a aprendizagem em níveis adequados, com vistas à superação das desigualdades e à valorização da diversidade, na perspectiva do desenvolvimento integral, da inclusão, da sustentabilidade e da justiça social, em consonância com o Plano Nacional de Educação.";;
2024;"5121";"1316";"Aprimorar o cuidado à saúde, fortalecendo a gestão estratégica do SUS, do trabalho e da educação em saúde, e intensificar a incorporação da inovação e da saúde digital e o enfrentamento das discriminações e desigualdades de raça/etnia, de gênero, regionais e sociais.";;
2024;"5126";"1337";"Promover o acesso da população ao esporte e à atividade física ao longo da vida, por meio do sistema nacional de esporte, em espaços apropriados e acessíveis, que contemplem as dimensões de lazer, educacional, amadora e de alto desempenho, garantindo diversidade, inclusão social e qualidade de vida, em consonância com os valores do esporte.";;
